1,2246,779,2020-12-27,2021-02-17,5,1
2,1220,2157,2020-02-03,2020-03-01,18,1
3,844,866,2021-02-08,2021-04-11,18,1
4,665,94,2019-12-28,2020-03-06,34,1
5,1397,772,2019-03-25,2019-05-16,31,1
6,2158,3000,2019-02-05,2019-03-22,9,1
7,1334,2986,2021-03-02,2021-04-16,18,1
8,573,63,2021-02-03,2021-02-27,7,1
9,2111,1820,2021-02-09,2021-03-24,17,1
10,1645,2231,2021-02-11,2021-03-19,21,1
11,655,1259,2020-03-26,2020-04-28,13,1
12,373,42,2020-12-14,2021-01-07,2,1
13,193,1778,2021-12-06,2022-01-17,25,1
14,1423,2948,2021-09-07,2021-10-25,9,1
15,2445,1805,2020-01-27,2020-02-22,5,1
16,188,1286,2020-12-21,2021-02-19,24,1
17,1277,1738,2018-01-05,2018-01-29,9,1
18,910,2410,2019-10-10,2019-12-25,22,1
19,1818,2730,2020-03-18,2020-05-19,12,1
20,2003,2908,2021-02-07,2021-03-06,18,1
21,1912,1333,2020-03-24,2020-05-26,50,1
22,114,2807,2021-12-09,2022-01-24,4,1
23,1035,2814,2020-11-29,2021-01-07,15,1
24,795,1593,2021-02-24,2021-05-04,13,1
25,24,2522,2021-01-06,2021-01-22,9,1
26,889,1533,2020-02-28,2020-04-16,33,1
27,725,1198,2020-03-02,2020-04-10,27,1
28,1956,2278,2021-03-28,2021-05-03,18,1
29,1884,2339,2021-03-12,2021-04-20,31,1
30,166,1590,2017-12-28,2018-02-10,8,1
31,1857,1940,2020-12-09,2020-12-29,12,1
32,2160,166,2018-11-11,2018-12-23,16,1
33,2357,2472,2019-11-15,2019-12-21,25,1
34,1820,1034,2020-02-24,2020-04-25,36,1
35,1043,1077,2020-02-25,2020-05-21,25,1
36,536,797,2020-03-30,2020-05-08,3,1
37,1599,2233,2021-02-28,2021-06-03,66,1
38,29,2485,2019-01-22,2019-03-08,13,1
39,1814,1181,2020-01-16,2020-02-27,25,1
40,880,717,2018-04-09,2018-05-27,9,1
41,252,175,2020-11-26,2021-01-11,9,1
42,527,2135,2021-02-03,2021-03-15,4,1
43,666,1815,2021-09-16,2021-10-28,8,1
44,862,118,2020-02-29,2020-04-01,9,1
45,2441,1120,2021-02-15,2021-03-29,12,1
46,2266,2485,2019-03-10,2019-04-13,13,1
47,1279,2931,2021-04-07,2021-05-01,14,1
48,231,1725,2021-09-18,2021-11-23,39,1
49,803,1458,2021-11-17,2022-01-27,7,1
50,686,350,2021-12-13,2022-01-04,4,1
51,1340,2627,2018-03-14,2018-05-07,16,1
52,931,1076,2021-01-08,2021-03-19,35,1
53,1252,2743,2020-12-17,2021-01-09,13,1
54,1225,1777,2020-11-05,2020-12-12,25,1
55,1875,1878,2020-01-17,2020-03-18,36,1
56,2110,1096,2021-01-09,2021-03-11,18,1
57,1093,162,2021-01-07,2021-02-08,9,1
58,54,1308,2020-01-14,2020-04-05,8,1
59,407,2863,2020-09-17,2020-11-22,26,1
60,443,2088,2020-03-07,2020-04-17,16,1
61,1322,728,2016-11-25,2017-02-05,43,1
62,489,464,2021-01-15,2021-02-27,25,1
63,1193,150,2019-01-17,2019-02-16,21,1
64,1573,2466,2019-10-07,2019-11-15,15,1
65,1373,1056,2021-12-07,2022-02-06,42,1
66,1800,476,2021-03-01,2021-03-24,11,1
67,2033,2323,2021-10-05,2021-11-08,3,1
68,2124,1915,2018-12-24,2019-02-13,35,1
69,818,1061,2021-12-16,2022-02-17,6,1
70,642,1720,2019-04-01,2019-04-27,2,1
71,528,1721,2018-02-06,2018-03-30,41,1
72,1866,2065,2020-01-21,2020-03-15,5,1
73,1525,2778,2021-12-04,2022-01-14,20,1
74,2032,669,2021-12-19,2022-03-02,21,1
75,2457,138,2019-02-19,2019-03-17,18,1
76,213,545,2019-03-11,2019-05-10,24,1
77,614,2565,2021-03-02,2021-03-22,12,1
78,1806,1504,2020-02-23,2020-04-16,26,1
79,945,135,2021-04-02,2021-05-17,13,1
80,2238,6,2016-01-25,2016-03-26,24,1
81,176,1702,2021-12-04,2022-01-16,8,1
82,1273,1918,2021-12-07,2022-01-15,15,1
83,1278,1809,2021-09-17,2021-11-14,17,1
84,2134,2909,2021-09-29,2021-11-19,10,1
85,1911,302,2018-03-31,2018-06-02,37,1
86,846,1995,2019-12-11,2020-01-10,9,1
87,2135,1711,2021-01-29,2021-03-15,4,1
88,1476,2849,2020-10-23,2021-01-06,45,1
89,1218,841,2021-12-12,2022-01-12,15,1
90,223,2981,2021-03-13,2021-05-05,5,1
91,940,39,2019-03-23,2019-04-27,10,1
92,2390,2402,2018-01-03,2018-03-17,14,1
93,303,2242,2021-12-25,2022-02-15,20,1
94,906,1405,2021-04-02,2021-05-12,28,1
95,689,1114,2021-11-28,2022-01-11,17,1
96,1010,2794,2021-03-22,2021-05-14,5,1
97,243,1461,2021-11-18,2022-02-26,30,1
98,387,1867,2021-02-15,2021-04-14,23,1
99,1737,2006,2021-11-07,2021-12-02,12,1
100,1169,1685,2017-03-09,2017-04-29,35,1
101,615,2569,2020-02-28,2020-04-12,13,1
102,2482,427,2021-11-27,2022-02-07,21,1
103,374,494,2021-12-06,2022-02-18,14,1
104,915,802,2021-11-28,2021-12-25,8,1
105,2455,196,2021-01-06,2021-03-19,36,1
106,649,1135,2016-01-21,2016-02-25,10,1
107,2153,557,2021-02-08,2021-05-02,66,1
108,10,2859,2021-12-11,2022-02-18,48,1
109,2068,2893,2019-02-28,2019-03-31,24,1
110,1925,1322,2021-11-12,2022-01-31,16,1
111,1440,1172,2020-03-05,2020-05-17,29,1
112,1720,1732,2019-03-11,2019-05-28,54,1
113,2252,2154,2021-03-19,2021-05-24,26,1
114,366,2092,2020-01-06,2020-03-13,46,1
115,265,1519,2020-03-11,2020-06-07,52,1
116,840,2947,2020-03-27,2020-07-07,81,1
117,475,1787,2020-02-23,2020-03-23,2,1
118,1766,799,2021-12-17,2022-02-01,27,1
119,2370,738,2019-02-14,2019-03-25,3,1
120,528,238,2021-01-24,2021-03-14,29,1
121,401,2260,2018-10-03,2018-11-28,11,1
122,1970,1781,2020-04-04,2020-05-19,4,1
123,72,2260,2019-01-08,2019-02-02,17,1
124,1464,48,2018-01-19,2018-05-11,89,1
125,2174,1726,2021-10-13,2021-11-27,27,1
126,1545,261,2020-02-11,2020-04-07,44,1
127,2329,2662,2020-01-02,2020-02-20,29,1
128,80,51,2019-03-31,2019-05-17,18,1
129,1454,1492,2020-03-15,2020-06-15,64,1
130,409,1366,2020-12-06,2021-01-07,3,1
131,1981,279,2018-11-01,2018-11-14,7,1
132,1857,2643,2020-02-03,2020-03-25,15,1
133,452,2070,2020-10-02,2020-12-03,43,1
134,578,2211,2021-10-15,2021-12-01,32,1
135,988,1995,2018-03-03,2018-03-27,16,1
136,1574,764,2019-01-12,2019-04-04,8,1
137,14,2725,2018-01-14,2018-02-02,13,1
138,1697,1306,2018-12-17,2019-01-20,6,1
139,993,1239,2021-03-30,2021-05-02,3,1
140,55,2265,2021-10-01,2021-12-24,50,1
141,2172,589,2018-12-27,2019-03-18,40,1
142,1708,1258,2021-11-14,2022-01-23,14,1
143,661,806,2018-02-18,2018-05-28,69,1
144,392,1140,2017-12-13,2018-01-26,8,1
145,386,2075,2019-02-15,2019-05-14,61,1
146,1418,660,2018-12-10,2019-01-21,25,1
147,1596,207,2020-12-07,2021-01-13,18,1
148,920,2954,2021-11-28,2022-01-26,47,1
